user_id,account_number,currency_code,balance,created_at
98,371637407578274,LKR,3254.85,3370-09-23T03:35:00
58,4376460552042,XCD,6494.33,2785-05-04T10:57:00
55,5589431938342420,MOP,979.01,9873-12-25T12:32:00
64,344277955640553,BHD,2981.11,6415-06-07T03:25:00
33,4176842120153,XFU,4848.38,2338-03-01T01:00:00
41,4069741898497,PKR,2171.77,4266-03-03T04:14:00
38,5527336696853408,NZD,4725.63,4815-02-11T10:45:00
1,4775974561861627,SEK,2719.41,1379-05-05T10:23:00
13,4699691239342581,SHP,3263.11,2809-03-31T08:01:00
95,5503508765965846,EEK,4453.11,2448-07-10T04:45:00
40,4206932497727469,NPR,5432.39,4171-05-31T03:29:00
85,4641617914106669,MDL,1422.83,8179-10-15T22:05:00
47,5575111820219821,LAK,3944.07,5094-09-12T08:16:00
99,5139938552543179,SCR,1668.09,7899-10-11T06:15:00
42,4901990998326106,AWG,2781.36,6589-12-20T07:18:00
28,375439795766462,GIP,1021.15,8148-09-27T13:30:00
94,345398313268432,XCD,8051.35,9232-12-13T23:57:00
47,376897275465658,XFU,3134.21,5755-03-07T00:34:00
67,344898471605312,SOS,628.52,7913-09-12T07:37:00
85,5326642219648560,LKR,5087.33,9634-05-01T17:09:00
37,343489724934858,PGK,2607.53,3037-03-13T15:36:00
47,373804325335417,BGN,3529.11,2789-07-28T00:44:00
43,5320920708862272,SCR,6340.35,6486-12-12T03:03:00
55,4502463636481,PLN,3923.45,4994-05-12T02:42:00
92,4344145410825,HKD,1337.62,4603-11-05T08:13:00
45,4117342652713,BBD,8150.46,7820-08-31T03:11:00
11,5315909133300963,TWD,6892.83,6933-03-07T16:15:00
87,4874520139792,SLL,3337.94,2284-01-03T15:55:00
90,5413872248071310,XPF,181.45,9447-05-10T06:02:00
45,4536456461396,HUF,5895.16,4762-01-14T14:46:00
38,5564446452649207,PHP,6011.96,7060-10-27T20:12:00
47,346966710782962,BMD,5577.65,3046-08-25T09:49:00
1,4939166428332,CZK,7137.89,2739-12-05T16:37:00
94,377956260352037,VEF,4156.50,2260-12-06T20:14:00
39,4037933761634,GYD,6229.86,5538-06-18T13:48:00
61,4225282713301625,USD,2005.42,6608-02-18T10:01:00
94,4375570225901,PLN,9812.56,4611-01-03T22:39:00
51,4283555987060079,EUR,5037.99,7424-06-01T11:46:00
59,374300276157316,LKR,3116.84,1709-03-31T00:15:00
1,341261276262225,UYU,4143.12,5139-07-09T01:41:00
40,347147550692015,BYR,2534.58,7655-06-04T04:14:00
59,5534306565622631,MOP,6396.19,2652-12-04T17:04:00
